DateTime,Seq Count,Timestamp 1,Timestamp 2,FP Temp,DIBTemp,HVTemp,HVVolts,HVCurrent,Amps_1v5,Amps_3v3_D,Amps_3v3_A,phRate,goodCmdCount,errorCount,HeaterPWM,HeaterAccum,sysError
2025-03-16_17-34-42,49155,0,14,-4.937484197378538,12.781749262010038,10.18165531509787,-9.1928,0.57565632,143.84931999999998,56.86544799999996,48.00757599999997,0,0,0,0.0,65432,111
2025-03-16_17-35-42,49155,0,14,-4.937484197378538,12.781749262010038,10.18165531509787,-9.1928,0.57565632,143.84931999999998,56.86544799999996,48.00757599999997,0,0,0,0.0,65432,111
2025-03-16_17-36-43,49155,0,14,-4.937484197378538,12.781749262010038,10.18165531509787,-9.1928,0.57565632,143.84931999999998,56.86544799999996,48.00757599999997,0,0,0,0.0,65432,111
2025-03-16_17-37-42,49155,0,14,-4.937484197378538,12.781749262010038,10.18165531509787,-9.1928,0.57565632,143.84931999999998,56.86544799999996,48.00757599999997,0,0,0,0.0,65432,111
2025-03-16_17-38-42,49155,0,14,-4.937484197378538,12.781749262010038,10.18165531509787,-9.1928,0.57565632,143.84931999999998,56.86544799999996,48.00757599999997,0,0,0,0.0,65432,111
2025-03-16_17-39-42,49155,0,14,-4.937484197378538,12.781749262010038,10.18165531509787,-9.1928,0.57565632,143.84931999999998,56.86544799999996,48.00757599999997,0,0,0,0.0,65432,111
2025-03-16_17-40-42,49155,0,14,-4.937484197378538,12.781749262010038,10.18165531509787,-9.1928,0.57565632,143.84931999999998,56.86544799999996,48.00757599999997,0,0,0,0.0,65432,111
2025-03-16_17-41-42,49155,0,14,-4.937484197378538,12.781749262010038,10.18165531509787,-9.1928,0.57565632,143.84931999999998,56.86544799999996,48.00757599999997,0,0,0,0.0,65432,111
2025-03-16_17-42-42,49155,0,14,-4.937484197378538,12.781749262010038,10.18165531509787,-9.1928,0.57565632,143.84931999999998,56.86544799999996,48.00757599999997,0,0,0,0.0,65432,111
2025-03-16_17-43-42,49155,0,14,-4.937484197378538,12.781749262010038,10.18165531509787,-9.1928,0.57565632,143.84931999999998,56.86544799999996,48.00757599999997,0,0,0,0.0,65432,111
2025-03-16_17-44-41,49155,0,14,-4.937484197378538,12.781749262010038,10.18165531509787,-9.1928,0.57565632,143.84931999999998,56.86544799999996,48.00757599999997,0,0,0,0.0,65432,111
2025-03-16_17-45-41,49155,0,14,-4.937484197378538,12.781749262010038,10.18165531509787,-9.1928,0.57565632,143.84931999999998,56.86544799999996,48.00757599999997,0,0,0,0.0,65432,111
2025-03-16_17-46-41,49155,0,14,-4.937484197378538,12.781749262010038,10.18165531509787,-9.1928,0.57565632,143.84931999999998,56.86544799999996,48.00757599999997,0,0,0,0.0,65432,111
2025-03-16_17-47-41,49155,0,14,-4.937484197378538,12.781749262010038,10.18165531509787,-9.1928,0.57565632,143.84931999999998,56.86544799999996,48.00757599999997,0,0,0,0.0,65432,111
2025-03-16_17-48-41,49155,0,14,-4.937484197378538,12.781749262010038,10.18165531509787,-9.1928,0.57565632,143.84931999999998,56.86544799999996,48.00757599999997,0,0,0,0.0,65432,111
2025-03-16_17-49-40,49155,0,14,-4.937484197378538,12.781749262010038,10.18165531509787,-9.1928,0.57565632,143.84931999999998,56.86544799999996,48.00757599999997,0,0,0,0.0,65432,111
2025-03-16_17-50-40,49155,0,14,-4.937484197378538,12.781749262010038,10.18165531509787,-9.1928,0.57565632,143.84931999999998,56.86544799999996,48.00757599999997,0,0,0,0.0,65432,111
2025-03-16_17-51-40,49155,0,14,-4.937484197378538,12.781749262010038,10.18165531509787,-9.1928,0.57565632,143.84931999999998,56.86544799999996,48.00757599999997,0,0,0,0.0,65432,111
2025-03-16_17-52-40,49155,0,14,-4.937484197378538,12.781749262010038,10.18165531509787,-9.1928,0.57565632,143.84931999999998,56.86544799999996,48.00757599999997,0,0,0,0.0,65432,111
2025-03-16_17-53-40,49155,0,14,-4.937484197378538,12.781749262010038,10.18165531509787,-9.1928,0.57565632,143.84931999999998,56.86544799999996,48.00757599999997,0,0,0,0.0,65432,111
2025-03-16_17-54-39,49155,0,14,-4.937484197378538,12.781749262010038,10.18165531509787,-9.1928,0.57565632,143.84931999999998,56.86544799999996,48.00757599999997,0,0,0,0.0,65432,111
2025-03-16_17-55-39,49155,0,14,-4.937484197378538,12.781749262010038,10.18165531509787,-9.1928,0.57565632,143.84931999999998,56.86544799999996,48.00757599999997,0,0,0,0.0,65432,111
2025-03-16_17-56-39,49155,0,14,-4.937484197378538,12.781749262010038,10.18165531509787,-9.1928,0.57565632,143.84931999999998,56.86544799999996,48.00757599999997,0,0,0,0.0,65432,111
2025-03-16_17-57-41,49155,0,14,-4.937484197378538,12.781749262010038,10.18165531509787,-9.1928,0.57565632,143.84931999999998,56.86544799999996,48.00757599999997,0,0,0,0.0,65432,111
2025-03-16_17-58-40,49155,0,14,-4.937484197378538,12.781749262010038,10.18165531509787,-9.1928,0.57565632,143.84931999999998,56.86544799999996,48.00757599999997,0,0,0,0.0,65432,111
2025-03-16_17-59-40,49155,0,14,-4.937484197378538,12.781749262010038,10.18165531509787,-9.1928,0.57565632,143.84931999999998,56.86544799999996,48.00757599999997,0,0,0,0.0,65432,111
2025-03-16_18-00-40,49155,0,14,-4.937484197378538,12.781749262010038,10.18165531509787,-9.1928,0.57565632,143.84931999999998,56.86544799999996,48.00757599999997,0,0,0,0.0,65432,111
