reg_addr,data,name
0x0022,0x0001,asic_icomp
0x0024,0x0004,asic_ireq
0x004a,0x0002,asic_tpeak
0x004c,0x0001,asic_io
0x004e,0x000f,asic_rdelay
0x0050,0x0003,asic_gain
0x0052,0x0000,asic_spy
0x0054,0x0003,asic_vref2p
0x0056,0x0000,asic_tune
0x0058,0x892b,asic_alimon0
0x005a,0x6424,asic_alimon1
0x0046,0x0000,asic_seltest0
0x0048,0x0000,asic_seltest1
0x0026,0x3f3f,asic_threshold1
0x0028,0x1d3f,asic_threshold2
0x002a,0x3f3f,asic_threshold3
0x002c,0x3f3f,asic_threshold4
0x002e,0x3f3f,asic_threshold5
0x0030,0x1d3f,asic_threshold6
0x0032,0x3f3f,asic_threshold7
0x0034,0x3f3f,asic_threshold8
0x0036,0x3f3f,asic_threshold9
0x0038,0x3f3f,asic_threshold10
0x003a,0x1d3f,asic_threshold11
0x003c,0x3f3f,asic_threshold12
0x003e,0x3f3f,asic_threshold13
0x0040,0x3f3f,asic_threshold14
0x0042,0x3f3f,asic_threshold15
0x0044,0x3f1d,asic_threshold16
